               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12384,            0.015243,                   0,          0.00074074,             0.28571,           0.0014228,          0.00034799,             0.13138,            0.010645,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.12336,            0.016698,                   0,           0.0026096,             0.42857,           0.0085639,           0.0020816,             0.12156,            0.010744,                   0,            0.093695,          0.00069538,          0.00069538
                   2,             0.11282,            0.016062,                   0,           0.0014815,             0.57143,            0.006297,           0.0015386,             0.10825,            0.010816,                   0,            0.090085,           0.0010855,           0.0010855
                   3,             0.10471,            0.018167,                   0,           0.0014815,             0.57143,           0.0059031,           0.0016976,            0.092874,            0.010784,                   0,             0.08647,           0.0014703,           0.0014703
                   4,            0.099193,            0.017344,                   0,           0.0019053,             0.71429,            0.019111,           0.0049843,            0.085501,            0.010486,                   0,             0.08285,           0.0018498,           0.0018498
                   5,            0.091585,             0.01765,                   0,           0.0022222,             0.85714,            0.025017,           0.0081057,            0.074784,            0.010856,                   0,            0.079224,           0.0022241,           0.0022241
                   6,             0.08191,            0.018592,                   0,           0.0029271,                   1,            0.059484,            0.021222,            0.069466,             0.01054,                   0,            0.075593,           0.0025931,           0.0025931
                   7,            0.076414,            0.018927,                   0,            0.013071,                   1,            0.062819,            0.022765,            0.065707,             0.01001,                   0,            0.071957,           0.0029568,           0.0029568
                   8,            0.069506,            0.018567,                   0,            0.074263,                   1,             0.12664,            0.039798,            0.062778,           0.0097774,                   0,            0.068315,           0.0033152,           0.0033152
                   9,            0.064548,             0.01806,                   0,            0.070439,             0.71429,             0.13094,            0.041063,            0.066844,           0.0088813,                   0,            0.064668,           0.0036683,           0.0036683
                  10,            0.073552,            0.018399,                   0,            0.096544,                   1,             0.17859,            0.058613,            0.058426,           0.0091763,                   0,            0.061016,           0.0040162,           0.0040162
                  11,            0.059227,            0.014676,                   0,             0.20916,             0.42857,             0.21365,             0.06341,            0.059217,            0.008754,                   0,            0.057359,           0.0043588,           0.0043588
                  12,            0.062893,            0.017803,                   0,             0.34647,             0.57143,             0.37788,             0.12136,            0.058661,           0.0085558,                   0,            0.053696,           0.0046961,           0.0046961
                  13,            0.059357,            0.021862,                   0,             0.22256,             0.42857,             0.32346,            0.082278,            0.058044,           0.0087016,                   0,            0.050028,           0.0050281,           0.0050281
                  14,            0.060034,            0.016078,                   0,             0.67338,             0.57143,             0.59279,             0.10946,            0.069176,           0.0072672,                   0,            0.046355,           0.0053548,           0.0053548
                  15,            0.055076,            0.016707,                   0,             0.73099,             0.42857,              0.6035,             0.20029,            0.050747,           0.0080328,                   0,            0.042676,           0.0056763,           0.0056763
