               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.031068,           0.0093258,                   0,             0.74451,             0.85714,             0.89625,             0.66561,            0.023831,            0.004129,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.029051,           0.0084813,                   0,             0.92882,                   1,               0.995,             0.57522,            0.025933,            0.004006,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.029225,           0.0088842,                   0,             0.96738,                   1,               0.995,             0.72322,            0.024069,           0.0035397,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.030046,           0.0079107,                   0,                   1,             0.97126,               0.995,             0.69487,            0.026624,           0.0036288,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.028734,            0.008049,                   0,             0.85111,             0.82094,               0.933,             0.55991,             0.02415,             0.00419,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.028765,            0.008324,                   0,             0.69463,               0.977,               0.911,              0.5866,             0.02472,           0.0042144,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.030409,           0.0075297,                   0,             0.69935,             0.99721,               0.911,             0.53519,             0.02564,           0.0040447,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.028285,           0.0081412,                   0,             0.76067,                   1,             0.96389,             0.52447,            0.028609,           0.0041135,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.029428,           0.0087021,                   0,             0.90666,             0.85714,             0.96389,             0.70277,            0.021413,           0.0041373,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.028362,           0.0078016,                   0,             0.95458,             0.85714,             0.96389,               0.729,            0.021311,           0.0040431,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.027929,           0.0078489,                   0,             0.92417,             0.85714,               0.953,             0.63298,            0.022917,           0.0039641,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.029223,           0.0079265,                   0,             0.86907,              0.9526,              0.9775,             0.65671,            0.025126,           0.0037567,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.026153,           0.0086284,                   0,             0.86046,                   1,              0.9775,             0.73014,            0.021176,           0.0035857,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.026515,           0.0071085,                   0,             0.85561,                   1,                0.96,             0.68297,            0.020701,           0.0033503,                   0,            0.006634,            0.006634,            0.006634
