               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024084,           0.0051007,                   0,             0.84697,             0.79612,             0.79819,             0.42149,            0.032301,           0.0042908,                   0,           0.0099128,           0.0099128,           0.0099128
                  39,            0.024623,            0.005822,                   0,             0.78484,             0.85714,             0.82195,             0.46868,            0.025225,           0.0040313,                   0,           0.0099104,           0.0099104,           0.0099104
                  40,             0.02553,           0.0063198,                   0,             0.76731,                   1,             0.84175,             0.42271,            0.032663,           0.0034378,                   0,           0.0099081,           0.0099081,           0.0099081
                  41,            0.023564,           0.0058224,                   0,             0.77358,                   1,             0.88875,             0.61546,            0.028231,           0.0032299,                   0,           0.0099057,           0.0099057,           0.0099057
                  42,            0.022378,            0.006109,                   0,             0.76346,                   1,             0.88246,             0.69488,            0.025412,           0.0031662,                   0,           0.0099034,           0.0099034,           0.0099034
                  43,            0.021365,           0.0062015,                   0,             0.83443,                   1,             0.92375,              0.6397,            0.025747,           0.0033411,                   0,            0.009901,            0.009901,            0.009901
                  44,            0.022896,           0.0071241,                   0,             0.69083,                   1,             0.86967,             0.60848,            0.028874,            0.003636,                   0,           0.0098986,           0.0098986,           0.0098986
                  45,            0.022424,           0.0060691,                   0,              0.8717,             0.97359,             0.92375,             0.67921,            0.022235,           0.0034217,                   0,           0.0098963,           0.0098963,           0.0098963
                  46,            0.020444,           0.0065297,                   0,                   1,             0.99897,               0.995,             0.68893,             0.03043,           0.0032782,                   0,           0.0098939,           0.0098939,           0.0098939
                  47,            0.020851,           0.0055408,                   0,             0.86205,                   1,                0.96,             0.72979,             0.02162,           0.0028414,                   0,           0.0098916,           0.0098916,           0.0098916
                  48,            0.018476,           0.0048457,                   0,             0.87367,             0.98938,              0.9775,             0.65239,            0.022133,           0.0031718,                   0,           0.0098892,           0.0098892,           0.0098892
                  49,            0.019362,           0.0056119,                   0,             0.86769,                   1,              0.9775,             0.70377,            0.022954,           0.0030892,                   0,           0.0098869,           0.0098869,           0.0098869
                  50,            0.020843,           0.0067042,                   0,             0.84759,             0.85714,             0.85122,              0.7026,             0.02287,            0.004653,                   0,           0.0098845,           0.0098845,           0.0098845
                  51,            0.019749,           0.0059924,                   0,             0.69562,                   1,             0.89467,             0.63192,            0.022552,            0.003694,                   0,           0.0098821,           0.0098821,           0.0098821
                  52,            0.019133,           0.0063793,                   0,              0.7722,                   1,             0.93278,             0.69022,            0.020297,           0.0031227,                   0,           0.0098798,           0.0098798,           0.0098798
                  53,            0.021765,           0.0057865,                   0,             0.77266,                   1,             0.90167,              0.6278,            0.021715,            0.003055,                   0,           0.0098774,           0.0098774,           0.0098774
                  54,            0.017892,           0.0044696,                   0,             0.77174,                   1,             0.88246,             0.60543,            0.020374,           0.0028205,                   0,           0.0098751,           0.0098751,           0.0098751
                  55,            0.022862,           0.0059147,                   0,             0.89401,                   1,               0.995,             0.74726,            0.022261,           0.0028757,                   0,           0.0098727,           0.0098727,           0.0098727
                  56,            0.020323,           0.0053235,                   0,                   1,             0.97867,               0.995,             0.77589,            0.017684,           0.0026597,                   0,           0.0098704,           0.0098704,           0.0098704
                  57,            0.019437,           0.0055006,                   0,             0.97904,                   1,               0.995,             0.66928,            0.026083,           0.0026787,                   0,            0.009868,            0.009868,            0.009868
                  58,            0.023246,           0.0056507,                   0,             0.97843,                   1,               0.995,              0.6915,              0.0244,           0.0026372,                   0,           0.0098656,           0.0098656,           0.0098656
                  59,            0.022787,             0.00507,                   0,             0.96782,                   1,               0.995,             0.79797,            0.021121,           0.0024522,                   0,           0.0098633,           0.0098633,           0.0098633
                  60,            0.019932,            0.005198,                   0,                   1,             0.99001,               0.995,             0.75002,            0.022097,           0.0027081,                   0,           0.0098609,           0.0098609,           0.0098609
                  61,            0.023349,           0.0098591,                   0,             0.86175,                   1,              0.9775,             0.70164,            0.022146,           0.0028245,                   0,           0.0098586,           0.0098586,           0.0098586
                  62,            0.023352,            0.006121,                   0,             0.86593,                   1,               0.995,             0.63436,            0.023611,           0.0032637,                   0,           0.0098562,           0.0098562,           0.0098562
                  63,            0.021896,           0.0069299,                   0,             0.94055,                   1,               0.995,             0.73193,            0.024248,           0.0032734,                   0,           0.0098539,           0.0098539,           0.0098539
                  64,            0.022448,           0.0055355,                   0,             0.93932,                   1,               0.995,             0.71385,            0.023575,           0.0035836,                   0,           0.0098515,           0.0098515,           0.0098515
                  65,            0.022885,           0.0084684,                   0,              0.8484,                   1,              0.9775,             0.73016,            0.025559,           0.0027915,                   0,           0.0098491,           0.0098491,           0.0098491
                  66,            0.022836,           0.0071087,                   0,             0.85456,                   1,              0.9775,             0.82573,            0.022117,           0.0025534,                   0,           0.0098468,           0.0098468,           0.0098468
                  67,            0.021211,           0.0055408,                   0,             0.85647,                   1,              0.9775,             0.68645,            0.025173,           0.0028966,                   0,           0.0098444,           0.0098444,           0.0098444
                  68,            0.021618,           0.0051585,                   0,             0.84691,                   1,              0.9775,             0.72351,            0.025776,           0.0030316,                   0,           0.0098421,           0.0098421,           0.0098421
                  69,            0.022229,           0.0064269,                   0,             0.90184,             0.85714,             0.96389,             0.68852,            0.025267,           0.0031956,                   0,           0.0098397,           0.0098397,           0.0098397
                  70,            0.019891,           0.0049666,                   0,             0.79111,                   1,                0.96,              0.7198,            0.023102,           0.0028954,                   0,           0.0098374,           0.0098374,           0.0098374
                  71,             0.02004,           0.0053053,                   0,             0.83716,                   1,                0.96,             0.73101,            0.022193,           0.0032927,                   0,            0.009835,            0.009835,            0.009835
                  72,            0.020153,           0.0052028,                   0,             0.81554,                   1,                0.96,             0.65023,            0.022097,           0.0029236,                   0,           0.0098326,           0.0098326,           0.0098326
                  73,            0.023447,           0.0054635,                   0,             0.87228,                   1,              0.9775,             0.71915,            0.023714,           0.0032274,                   0,           0.0098303,           0.0098303,           0.0098303
                  74,            0.020316,           0.0049377,                   0,             0.86799,                   1,              0.9775,             0.72344,            0.021115,           0.0031573,                   0,           0.0098279,           0.0098279,           0.0098279
                  75,            0.020078,           0.0059004,                   0,             0.84875,                   1,             0.92375,             0.70677,             0.01998,            0.003088,                   0,           0.0098256,           0.0098256,           0.0098256
                  76,            0.024581,           0.0059592,                   0,             0.85811,                   1,              0.9775,             0.75808,             0.02198,           0.0028088,                   0,           0.0098232,           0.0098232,           0.0098232
                  77,            0.022534,           0.0063743,                   0,                   1,             0.96514,               0.995,             0.78596,            0.019396,           0.0026424,                   0,           0.0098209,           0.0098209,           0.0098209
                  78,            0.019952,           0.0067634,                   0,             0.84641,                   1,                0.96,              0.7935,            0.018213,           0.0029482,                   0,           0.0098185,           0.0098185,           0.0098185
                  79,            0.025191,           0.0074632,                   0,             0.84653,                   1,              0.9775,             0.79583,            0.020742,           0.0029333,                   0,           0.0098161,           0.0098161,           0.0098161
                  80,            0.021967,           0.0066438,                   0,             0.86647,                   1,              0.9775,             0.74486,            0.021364,           0.0029208,                   0,           0.0098138,           0.0098138,           0.0098138
                  81,            0.017079,           0.0049858,                   0,             0.83811,             0.85714,             0.92409,             0.63307,            0.025362,           0.0043025,                   0,           0.0098114,           0.0098114,           0.0098114
                  82,             0.02202,           0.0055062,                   0,             0.85583,             0.85714,             0.96389,             0.73645,             0.02269,           0.0032883,                   0,           0.0098091,           0.0098091,           0.0098091
